IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471304587860611072,1432903507250606082,Freedom Of Thought,wilujeng999,"Ujungpandang, Indonesia",2021-12-16 02:22:03+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Kita lihat seberapa hebat formula E di gelar....!! di gelar di JIS ada supaya itu stadion ada manfaatnya.....!!!
1471304516049932288,3192322435,Ewi,ewi12lai,,2021-12-16 02:21:46+00:00,Twitter for Android,@Fer_78748 @KPK_RI usutlah tuh kasus formula Eeeee... Ngak usah ikut2 an ngajuin PT 0%.. sudah bagus sekarang ttp 20% sampe selama nya
1471304508592455684,1356520652094627841,anabel,anabelaja,,2021-12-16 02:21:45+00:00,Twitter for Android,"Kepercayaan rakyat harus dibalas KPK dengan Kerja
Ayo Disiplin Prokes https://t.co/8NB3teEwGL"
1471304490854715394,1442458903929704460,Surono Ono,SuronoOno6,,2021-12-16 02:21:40+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Berbahaya juga ya
1471304467987386368,1338079851547250688,Johan Woda,woda_johan,,2021-12-16 02:21:35+00:00,Twitter for Android,"RT @PointBroo: MO NANYA PENDAPAT Bpk/Ibu dari
@DivHumas_Polri 
@KejaksaanRI dan 
@KPK_RI 
Tentang gambar di bwh ini... JANGGAL GA?? https:/…"
1471304360499900418,1356520652094627841,anabel,anabelaja,,2021-12-16 02:21:09+00:00,Twitter for Android,"KPK semakin Profesional
Ayo Disiplin Prokes https://t.co/huNzpOFPNm"
1471304283438006274,1330889445445287936,Rid1izam76,rid1izam,kuningan jabar,2021-12-16 02:20:51+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Anggaran jalan sirkuit Mandalika-bandara di bongkar warga padahal biayanya hampir 1 Trilyu… https://t.co/bRsTjRfPRV
IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471304225476907008,109296112,Hanamichi sakuragi,Slampdunk88,"Kota Surabaya, Jawa Timur",2021-12-16 02:20:37+00:00,Twitter for iPhone,"RT @Alecyabil: @GarengHallu Knapa itu orang alamatnya kontraktor nggak tau genah yo?🤔🤔🤔
Biyen paud alamate SILUMAN saiki ngulang maneh🤦🏻
@K…"
1471304123089702914,2293229845,Supri Ag.,AgusSup39011241,,2021-12-16 02:20:13+00:00,Twitter for Android,"RT @Asmaragadjayar1: @__AnakKolong Kadal begundal yang netes di hutan cendana ini memang hebat, dia sangat mampu memperdaya menggerakan tok…"
1471304074637164544,1451151443629539331,KETUYUT🇮🇩,bhineka_indo,,2021-12-16 02:20:01+00:00,Twitter for Android,KPK janji buru semua DPO Korupsi. Ayo Disiplin Prokes https://t.co/UbKjzBO3pw
1471304069163601921,124171593,Tribunnews.com,tribunnews,Indonesia,2021-12-16 02:20:00+00:00,Twitter Web App,"KPK Sebut Berkas Perkara Penyuap Bupati Muba Dodi Reza Alex Noerdin Lengkap
 
https://t.co/vqtgUuw0nn"
1471304049404252160,1418156707503480833,Pandu Dhyaksa,PDhyaksa,,2021-12-16 02:19:55+00:00,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471303976847032324,3367645213,KETTLER,inong911,,2021-12-16 02:19:38+00:00,Twitter for Android,@wonggemblung_ @tri_suharjanto @FerdinandHaean3 @KPK_RI Itu kan dulu waktu dia masih gabung kelompok radikal. Sekar… https://t.co/ZhlaWDmsnU
1471303929879162881,978406184875995137,Ajang sujana,sujana_ajang,,2021-12-16 02:19:27+00:00,Twitter for Android,"@FerdinandHaean3 @KPK_RI Yg blm di serang sama si fer 9 naga, pry reklamasi, RS sumber waras, tanah Cengkareng, trans jkt..so?"
1471303906684596224,1405467992062783488,pingping (∪ ◡ ∪)🌱,icedcaffemisto,Limsa Lominsa,2021-12-16 02:19:21+00:00,Twitter Web App,"@facelessnigm ora iso instan nek saiki, kepala desa wae diawasi kpk, wes telat nek meh kaya via politik saiki

sing… https://t.co/uaUiTo12iU"
1471303658549612544,1209365833371176960,ABANG BONAR 💖🇮🇩💖NKRI BANGET,PUTRA_CEBONG_7,,2021-12-16 02:18:22+00:00,Twitter for Android,"RT @WagimanDeep212_: Tugas KPK smangkin berat, skarang ngurusin politik jugak. 
Jelang 2024 mungkin akan lahir Partai KPK..jas wait 

https…"
1471303649523503104,1232069279773626369,Aiman_Judakusumah 🇮🇩,AimanJudakusum1,,2021-12-16 02:18:20+00:00,Twitter for Android,"@SMurtioso @FerdinandHaean3 @KPK_RI mestinya para wakil rakyat terhormat di @dprddkijakarta lbh ""galak"" awasi ini.… https://t.co/BIhCno1QVo"
1471303606548656128,2272880509,Verliz Fianta,kekuatankataku,indonesia,2021-12-16 02:18:09+00:00,Twitter for Android,"@Fer_78748 KPK, dulu aku bangga
kini berubah cerita
kau jadi produsen sandiwara

KPK, ingatlah sumpah yang kau puny… https://t.co/JFmWxykXhk"
1471303399077339138,199356232,titut mulyono m.,titut_mulyono,Jakarta - Indonesia,2021-12-16 02:17:20+00:00,Twitter for iPhone,"RT @yusuf_dumdum: Makin ngerih lihat yg seperti ini. Akhir tahun kejar target, proyek asal-asalan yang penting anggaran keluar! @KPK_RI mas…"
1471303354173116416,1236558454229045248,Heru Hasnul,heru_hasnul,,2021-12-16 02:17:09+00:00,Twitter for Android,@_ekokuntadhi Sdh kacau begini @KPK_RI masih TIDUR ??????
1471303333285556226,1034358534517878785,Fitri,Fitri98891437,"Palembang, South Sumatra",2021-12-16 02:17:04+00:00,Twitter for Android,"Kinerja Lembaga Pemerintah (Polri, Kejaksaan RI, &amp; KPK) Semakin Efektif, Berani dan Profesional Dalam Memberantas K… https://t.co/ucXL4penzV"
1471303331901362180,1466669209606262787,PETRUK. SE. MT. M.ENG,Petruk71887838,,2021-12-16 02:17:04+00:00,Twitter for Android,@FerdinandHaean3 @KPK_RI Berani.... satu kelompok loh.. masa jeruk di pulut jeruk https://t.co/EC859lVmr9
